Track Name,Artist Name,Acousticness,Danceability,Energy,Instrumentalness,Speechiness,Liveness,Loudness,Tempo,Valence,Popularity,Release Date,Genres
Prelude,Foals,0.091,0.51,0.655,0.632,0.0553,0.105,-12.3,95.121,0.0908,35,1/31/2013,"['alternative dance', 'garage rock', 'indie rock', 'indietronica', 'modern alternative rock', 'modern rock', 'neo-synthpop', 'oxford indie', 'shimmer pop']"
Primus Stove,LV,0.136,0.736,0.499,4.00E-05,0.286,0.129,-9.428,119.817,0.406,0,7/1/2014,['uk bass']
Providence,Foals,0.000125,0.465,0.894,0.164,0.0789,0.175,-7.296,136.792,0.339,39,1/31/2013,"['alternative dance', 'garage rock', 'indie rock', 'indietronica', 'modern alternative rock', 'modern rock', 'neo-synthpop', 'oxford indie', 'shimmer pop']"
Raiz,RYAT,0.526,0.341,0.401,0.971,0.066,0.107,-14.715,171.933,0.37,0,6/4/2012,"['glitch pop', 'shimmer pop']"
Safe and Sound,LV,0.108,0.637,0.622,0.000364,0.291,0.0992,-6.147,129.59,0.638,0,7/1/2014,['uk bass']
Scarstruck - International Bonus Track,Slayer,2.93E-05,0.295,0.993,0.00276,0.208,0.201,-2.399,148.971,0.31,17,1/1/2003,"['alternative metal', 'death metal', 'groove metal', 'hard rock', 'metal', 'old school thrash', 'rock', 'speed metal', 'thrash metal']"
Seahorse,RYAT,0.777,0.331,0.626,0.889,0.336,0.373,-13.169,141.575,0.345,1,6/4/2012,"['glitch pop', 'shimmer pop']"
Sebenza,LV,0.00503,0.536,0.624,0.00014,0.185,0.505,-9.712,150.024,0.674,3,7/1/2014,['uk bass']
Serpents,Sharon Van Etten,0.000406,0.432,0.77,0.00196,0.0371,0.11,-4.813,122.522,0.164,47,2/7/2012,"['art pop', 'chamber pop', 'indie rock', 'melancholia', 'new jersey indie', 'singer-songwriter']"
Seven Faces,Slayer,2.68E-05,0.215,0.993,0.519,0.257,0.166,-3.939,151.212,0.0476,32,9/11/2001,"['alternative metal', 'death metal', 'groove metal', 'hard rock', 'metal', 'old school thrash', 'rock', 'speed metal', 'thrash metal']"
