,model,Score (RMSE),Hyperparams used,Features dropped,New features created,Runtime trainining + inference (seconds),Hardware used (GPU/CPU/TPU),Explainability (top 3 features)
0,Random Forest,46.74658814549322,"['max_features:auto', 'max_depth:30', 'min_samples_leaf:1']","['atemp', 'sunlight', 'traffic', 'pollution', 'holiday']","['log_pollution', 'dayInWeek', 'dayInMonth', 'month', 'year', 'hour']",1342.7808153629303,CPU,"['hour, log_pollution, temp']"
1,Linear Regression,115.98277145551107,['None'],"['atemp', 'sunlight', 'traffic', 'pollution', '15']","['log_pollution', 'dayInWeek_i', 'time_in_month_i', 'time_in_day_i', 'season_i', 'weather_i', 'year_2011', 'year_2012', 'year_other']",0.0713357925415039,CPU,['(PCA-Not Explanable)']
2,XGBoost,40.74060075148765,"['max_features:auto', 'max_depth:5']","['atemp', 'sunlight', 'traffic', 'pollution', 'windspeed']","['log_pollution', 'dayInWeek', 'dayInMonth', 'month', 'year', 'hour']",19.79638361930847,CPU,"['hour, year, workingday']"
